Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity),,,,%,,,
,,,,,,,,,Detected,Real,Known,Useful,Detected,Real,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful
Individual,"Activity 1.1
Individual study
(not monitored)",Computer-mediated,Distance,Individual,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,,,,,,,,,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Expert,"Activity 2.1
Individual summaries
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,* Editions/uploads in MediaWiki,activity,14,13,13,0,13,1,1,1,0,14,0,1,13,100,0,7.142857143,92.85714286,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,24,0,1,23,100,0,4.166666667,95.83333333
,,,,,2) Groups participation,,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2) Groups collaboration,,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Impact on future activities (jigsaw phase),,pattern,4,4,4,0,4,0,0,0,0,4,0,0,4,100,0,0,100,4,0,0,4,100,0,0,100,,,,,,,,,,,,,,,,,4,0,0,4,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,4,100,0,0,100,4,0,0,4,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Activity 2.2
Expert consensus
(monitored)",Blended,Blended,Expert group,1) Individual participation,"* Attendance to the lab session
* Accesses Dabbleboard
* Editions/uploads in MediaWiki",activity,14,12,12,12,12,2,2,1,1,14,0,13,13,100,0,92.85714286,92.85714286,,,,,,,,,14,0,13,13,100,0,92.85714286,92.85714286,,,,,,,,,,,,,,,,,14,0,13,13,100,0,92.85714286,92.85714286,,,,,,,,,14,0,13,13,100,0,92.85714286,92.85714286,,,,,,,,,,,,,,,,,14,0,13,13,100,0,92.85714286,92.85714286,,,,,,,,,,,,,,,,,24,0,13,23,100,0,54.16666667,95.83333333
,,,,,2) Groups participation,* Editions/uploads in MediaWiki,activity,3,1,1,0,1,2,2,0,2,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2) Groups collaboration,"* Attendance to the lab session
* Accesses Dabbleboard
* Editions/uploads in MediaWiki",pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Impact on future activities (jigsaw phase),"* Attendance to the lab session
* Accesses Dabbleboard
* Editions/uploads in MediaWiki",pattern,4,3,3,0,3,1,1,0,1,4,0,0,4,100,0,0,100,,,,,,,,,4,0,0,4,100,0,0,100,,,,,,,,,,,,,,,,,4,0,0,4,100,0,0,100,,,,,,,,,,,,,,,,,4,0,0,4,100,0,0,100,,,,,,,,,4,0,0,4,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
,"Activity 2.3
Workgroup report
(monitored)",Computer-mediated,Distance,Expert group,1) Groups participation,* Accesses to GForms,activity,3,2,2,2,2,1,1,1,1,3,0,3,3,100,0,100,100,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,,3,0,3,3,100,0,100,100
