Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (individual),,,,%,,,,TOTAL (small groups),,,,%,,,,TOTAL (big groups),,,,%,,,,TOTAL (whole class),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
,,,,,,,,,Detected,Real,Known,Useful,Detected,Real,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful
Level 1,"Activity 1.1
Individual research proposal
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,* Accesses to GDocs,activity,14,11,11,0,11,3,3,1,2,14,0,1,13,100,0,7.142857143,92.85714286,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,34,0,2,32,100,0,5.882352941,94.11764706
,,,,,2)Expected use of resources,,activity,14,11,11,0,11,3,3,1,2,14,0,1,13,100,0,7.142857143,92.85714286,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Impact on future activities (level 2 groups),,pattern,6,5,5,0,5,1,1,0,1,6,0,0,6,100,0,0,100,6,0,0,6,100,0,0,100,,,,,,,,,,,,,,,,,6,0,0,6,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,6,100,0,0,100,6,0,0,6,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 2,"Activity 2.1
Initial research proposal
(monitored)",Blended,Blended,Small group,1) Groups participation,"* Attendance to the lab session
* Accesses to Gdocs",activity,6,6,6,4,6,0,0,0,0,6,0,4,6,100,0,66.66666667,100,,,,,,,,,6,0,4,6,100,0,66.66666667,100,,,,,,,,,,,,,,,,,6,0,4,6,100,0,66.66666667,100,,,,,,,,,6,0,4,6,100,0,66.66666667,100,,,,,,,,,,,,,,,,,6,0,4,6,100,0,66.66666667,100,,,,,,,,,,,,,,,,,34,1,13,26,97.14285714,2.857142857,37.14285714,74.28571429
,,,,,2) Individual participation,* Accesses to GDocs,activity,14,9,9,6,3,5,5,1,4,14,0,7,7,100,0,50,50,,,,,,,,,14,0,7,7,100,0,50,50,,,,,,,,,,,,,,,,,14,0,7,7,100,0,50,50,,,,,,,,,14,0,7,7,100,0,50,50,,,,,,,,,,,,,,,,,14,0,7,7,100,0,50,50,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces,* Accesses to GDocs,activity,6,5,5,0,5,1,0,0,1,5,1,0,6,83.33333333,16.66666667,0,100,,,,,,,,,5,1,0,6,83.33333333,16.66666667,0,100,,,,,,,,,,,,,,,,,5,1,0,6,83.33333333,16.66666667,0,100,,,,,,,,,5,1,0,6,83.33333333,16.66666667,0,100,,,,,,,,,,,,,,,,,5,1,0,6,83.33333333,16.66666667,0,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4) Collaboration,"* Attendance to the lab session
* Accesses to Gdocs",pattern,6,3,3,2,1,3,3,0,3,6,0,2,4,100,0,33.33333333,66.66666667,,,,,,,,,6,0,2,4,100,0,33.33333333,66.66666667,,,,,,,,,,,,,,,,,6,0,2,4,100,0,33.33333333,66.66666667,,,,,,,,,,,,,,,,,6,0,2,4,100,0,33.33333333,66.66666667,,,,,,,,,6,0,2,4,100,0,33.33333333,66.66666667,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5) Impact on future activities (level 3 groups),* Accesses to GDocs,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
Level 3,"Activity 3.1
Final research proposal
(monitored)",Blended,Blended,Big group,1) Individual participation,"* Attendance to the lab session
* Editions/uploads in MediaWiki",activity,14,12,12,12,0,2,2,1,1,14,0,13,1,100,0,92.85714286,7.142857143,,,,,,,,,14,0,13,1,100,0,92.85714286,7.142857143,,,,,,,,,,,,,,,,,14,0,13,1,100,0,92.85714286,7.142857143,,,,,,,,,14,0,13,1,100,0,92.85714286,7.142857143,,,,,,,,,,,,,,,,,,,,,,,,,14,0,13,1,100,0,92.85714286,7.142857143,,,,,,,,,23,0,19,7,100,0,82.60869565,30.43478261
,,,,,2) Groups participation,,activity,3,3,3,3,0,0,0,0,0,3,0,3,0,100,0,100,0,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces,* Editions/uploads MediaWiki,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,
,,,,,4)Collaboration: Subgroups interaction,"* Attendance to the lab session
* Editions/uploads in MediaWiki",pattern,3,3,3,3,3,0,0,0,0,3,0,3,3,100,0,100,100,,,,,,,,,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,,3,0,3,3,100,0,100,100,,,,,,,,,,,,,,,,
,"Activity 3.2
Development of the research plan
(monitored)",Blended,Blended,Big group,1) Individual participation,"* Attendance to the lab session
* Editions/uploads in MediaWiki",activity,14,10,10,10,0,4,4,1,3,14,0,11,3,100,0,78.57142857,21.42857143,,,,,,,,,14,0,11,3,100,0,78.57142857,21.42857143,,,,,,,,,,,,,,,,,14,0,11,3,100,0,78.57142857,21.42857143,,,,,,,,,14,0,11,3,100,0,78.57142857,21.42857143,,,,,,,,,,,,,,,,,,,,,,,,,14,0,11,3,100,0,78.57142857,21.42857143,,,,,,,,,29,0,20,15,100,0,68.96551724,51.72413793
,,,,,2) Groups participation,,activity,3,3,3,3,0,0,0,0,0,3,0,3,0,100,0,100,0,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,
,,,,,3) Expected use of resoruces,* Uploads in MediaWiki,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,
,,,,,4) Collaboration: small group interaction,"* Attendance to the lab session
* Editions/uploads in MediaWiki",pattern,6,6,6,6,6,0,0,0,0,6,0,6,6,100,0,100,100,,,,,,,,,6,0,6,6,100,0,100,100,,,,,,,,,,,,,,,,,6,0,6,6,100,0,100,100,,,,,,,,,,,,,,,,,6,0,6,6,100,0,100,100,,,,,,,,,,,,,,,,,6,0,6,6,100,0,100,100,,,,,,,,,,,,,,,,
,,,,,5) Impact on future activities (peer-review),* Uploads in MediaWiki,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,
,"Activity 3.3
Peer review
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,* Editions in MediaWiki,activity,14,13,13,0,13,1,1,1,0,14,0,1,13,100,0,7.142857143,92.85714286,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,31,0,2,29,100,0,6.451612903,93.5483871
,,,,,2)Expected use of resources,,activity,14,13,13,0,13,1,1,1,0,14,0,1,13,100,0,7.142857143,92.85714286,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,14,0,1,13,100,0,7.142857143,92.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Impact on future activities (peer review),,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Activity 3.4
Improvement of the proposals
(monitored)",Blended,Blended,Big group,1) Individual participation,"* Attendance to the lab session
* Editions/uploads in MediaWiki",activity,14,13,13,13,0,1,1,1,0,14,0,14,0,100,0,100,0,,,,,,,,,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,,,,,,,,,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,,,,,,,,,23,0,14,9,100,0,60.86956522,39.13043478
,,,,,2) Groups participation,,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,
,,,,,3)Expected use of resources,,activity,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,
,,,,,4) Impact on future activities (presentation),,pattern,3,3,3,0,3,0,0,0,0,3,0,0,3,100,0,0,100,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,,3,0,0,3,100,0,0,100,,,,,,,,,,,,,,,,
Level 4,"Activity 4.1
Presentation of research proposals & plans
(monitored)",Face-to-face,Face-to-face,Whole class,1) Individual participation,* Attendance to the lab session,activity,14,12,12,12,0,2,2,2,0,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,14,0,14,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,14,0,100,0,100,0,17,0,17,0,100,0,100,0
,,,,,2) Big group participation,,pattern,3,3,3,3,0,0,0,0,0,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,100,0,100,0,,,,,,,,
