Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources ans actions,Constraint type,"Students, groups or resources evaluated",Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
,,,,,,,,,Detected,Real,Known,Useful,Detected,Real,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful
Phase1 Role-playing,"Activity 1.1
Role-playing preparation (monitored)",Blended,Blended,Group,1) Individual participation,"* Attendance to the lab session
* Accesses to GDocs",activity,60,60,60,58,60,0,0,0,0,60,0,58,60,100,0,96.66666667,100,,,,,,,,,60,0,58,60,100,0,96.66666667,100,,,,,,,,,,,,,,,,,60,0,58,60,100,0,96.66666667,100,,,,,,,,,60,0,58,60,100,0,96.66666667,100,,,,,,,,,,,,,,,,,,,,,,,,,60,0,58,60,100,0,96.66666667,100,,,,,,,,,108,0,90,108,100,0,83.33333333,100
,,,,,2) Expected use of resources,* Accesses to GDocs,activity,16,16,16,0,16,0,0,0,0,16,0,0,16,100,0,0,100,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,
,,,,,3) Collaboration,"* Attendance to the lab session
* Accesses to Gdocs",pattern,16,16,16,16,16,0,0,0,0,16,0,16,16,100,0,100,100,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,
,,,,,4) Impact Role-playing,,pattern,16,16,16,16,16,0,0,0,0,16,0,16,16,100,0,100,100,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,
,"Activity 1.2
Role-playing presentation (monitored)",Face-to-face,Face-to-face,Whole class,1) Individual participation,* Attendance to the lab session,activity,60,60,60,60,0,0,0,0,0,60,0,60,0,100,0,100,0,,,,,,,,,,,,,,,,,60,0,60,0,100,0,100,0,,,,,,,,,,,,,,,,,60,0,60,0,100,0,100,0,60,0,60,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,60,0,100,0,100,0,92,0,92,32,100,0,100,34.7826087
,,,,,2) Impact on peer-review (reviewers),,pattern,16,16,16,16,16,0,0,0,0,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,
,,,,,3) Impact on peer-review(documents to review),,pattern,16,16,16,16,16,0,0,0,0,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,16,0,16,16,100,0,100,100,,,,,,,,
Phase2 Peer Review,"Activity2.1
Peer-review
(monitored)",Computer-mediated,Distance,Group,1) Groups participation,"* Accesses to the videos
* Accesses to GDocs",activity,16,16,16,0,16,0,0,0,0,16,0,0,16,100,0,0,100,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,16,100,0,0,100,,,,,,,,,64,0,0,64,100,0,0,100
,,,,,2) Use of resources,,activity,32,32,32,0,32,0,0,0,0,32,0,0,32,100,0,0,100,32,0,0,32,100,0,0,100,,,,,,,,,,,,,,,,,32,0,0,32,100,0,0,100,,,,,,,,,,,,,,,,,32,0,0,32,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,32,0,0,32,100,0,0,100,,,,,,,,,,,,,,,,
