Phase,Activity,Interactivity type,Learning type,Social level,Indicators,Monitored resources and actions,Constraint type,Students or groups evaluated,Evidences,,,,Problems,,,,TOTAL,,,,%,,,,TOTAL (Distance),,,,%,,,,TOTAL (Blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (computer-mediated),,,,%,,,,TOTAL (blended),,,,%,,,,TOTAL (face-to-face),,,,%,,,,TOTAL (activity constraints),,,,%,,,,TOTAL (pattern constraints),,,,%,,,,TOTAL (individual),,,,%,,,,TOTAL (small groups),,,,%,,,,TOTAL (big groups),,,,%,,,,TOTAL (whole class),,,,%,,,,TOTAL (conditions per activity),,,,%,,,
,,,,,,,,,Detected by the custimized MMLA solution,Real,Detected by the teacher,Useful,Detected by the custimized MMLA solution,Real,Detected by the teacher,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful,Right,Wrong,Known,Useful
Individual,"Activity 1.1
Law review
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,* Accesses to PDFs,activity,150,147,147,0,147,3,3,0,3,150,0,0,150,100.0,0.0,0.0,100.0,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,239,0,0,239,100.0,0.0,0.0,100.0
,,,,,2)Expected use of resources (laws),,activity,6,6,6,0,6,0,0,0,0,6,0,0,6,100.0,0.0,0.0,100.0,6,0,0,6,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,6,0,0,6,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,6,0,0,6,100.0,0.0,0.0,100.0,,,,,,,,,6,0,0,6,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Impact on future activities (expert groups enough for collaboration),,pattern,60,58,58,0,58,2,2,0,2,60,0,0,60,100.0,0.0,0.0,100.0,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4) Impact on future activities (jigsaw groups with enough experts),,pattern,23,20,20,0,20,3,3,0,3,23,0,0,23,100.0,0.0,0.0,100.0,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Activity 1.2
Individual report on the law review
(monitored)",Computer-mediated,Distance,Individual,1) Individual participation,* Editions/Accesses to GDocs,activity,150,150,150,0,150,0,0,0,0,150,0,0,150,100.0,0.0,0.0,100.0,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,150,0,0,150,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,441,2,4,441,99.5,0.5,0.9,99.5
,,,,,2)Expected use of resources (reports),,activity,150,148,146,2,148,2,4,2,2,148,2,4,148,98.7,1.3,2.7,98.7,148,2,4,148,98.7,1.3,2.7,98.7,,,,,,,,,,,,,,,,,148,2,4,148,98.7,1.3,2.7,98.7,,,,,,,,,,,,,,,,,148,2,4,148,98.7,1.3,2.7,98.7,,,,,,,,,148,2,4,148,98.7,1.3,2.7,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3) Impact on future activities (expert groups enough for collaboration),,pattern,60,60,60,0,60,0,0,0,0,60,0,0,60,100.0,0.0,0.0,100.0,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4) Impact on future activities (jigsaw groups with enough experts),,pattern,23,22,22,0,22,1,1,0,1,23,0,0,23,100.0,0.0,0.0,100.0,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0,23,100.0,0.0,0.0,100.0,23,0,0,23,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5) Impact on future activities (expert groups),,pattern,60,60,60,0,60,0,0,0,0,60,0,0,60,100.0,0.0,0.0,100.0,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,60,100.0,0.0,0.0,100.0,60,0,0,60,100.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
